"x"
"X2015.01.01"
"X2015.01.17"
"X2015.02.02"
"X2015.02.18"
"X2015.03.06"
"X2015.03.22"
"X2015.04.07"
"X2015.04.23"
"X2015.05.09"
"X2015.05.25"
"X2015.06.10"
"X2015.06.26"
"X2015.07.12"
"X2015.07.28"
"X2015.08.13"
"X2015.08.29"
"X2015.09.14"
"X2015.09.30"
"X2015.10.16"
"X2015.11.01"
"X2015.11.17"
"X2015.12.03"
"X2015.12.19"
"X2016.01.01"
"X2016.01.17"
"X2016.02.02"
"X2016.02.18"
"X2016.03.05"
"X2016.03.21"
"X2016.04.06"
"X2016.04.22"
"X2016.05.08"
"X2016.05.24"
"X2016.06.09"
"X2016.06.25"
"X2016.07.11"
"X2016.07.27"
"X2016.08.12"
"X2016.08.28"
"X2016.09.13"
"X2016.09.29"
"X2016.10.15"
"X2016.10.31"
"X2016.11.16"
"X2016.12.02"
"X2016.12.18"
"X2017.01.01"
"X2017.01.17"
"X2017.02.02"
"X2017.02.18"
"X2017.03.06"
"X2017.03.22"
"X2017.04.07"
"X2017.04.23"
"X2017.05.09"
"X2017.05.25"
"X2017.06.10"
"X2017.06.26"
"X2017.07.12"
"X2017.07.28"
"X2017.08.13"
"X2017.08.29"
"X2017.09.14"
"X2017.09.30"
"X2017.10.16"
"X2017.11.01"
"X2017.11.17"
"X2017.12.03"
"X2017.12.19"
"X2018.01.01"
"X2018.01.17"
"X2018.02.02"
"X2018.02.18"
"X2018.03.06"
"X2018.03.22"
"X2018.04.07"
"X2018.04.23"
"X2018.05.09"
"X2018.05.25"
"X2018.06.10"
"X2018.06.26"
"X2018.07.12"
"X2018.07.28"
"X2018.08.13"
"X2018.08.29"
"X2018.09.14"
"X2018.09.30"
"X2018.10.16"
"X2018.11.01"
"X2018.11.17"
"X2018.12.03"
"X2018.12.19"
"X2019.01.01"
"X2019.01.17"
"X2019.02.02"
"X2019.02.18"
"X2019.03.06"
"X2019.03.22"
"X2019.04.07"
"X2019.04.23"
"X2019.05.09"
"X2019.05.25"
"X2019.06.10"
"X2019.06.26"
"X2019.07.12"
"X2019.07.28"
"X2019.08.13"
"X2019.08.29"
"X2019.09.14"
"X2019.09.30"
"X2019.10.16"
"X2019.11.01"
"X2019.11.17"
"X2019.12.03"
"X2019.12.19"
"X2020.01.01"
